source_center,destination_center,n_legs,median_ratio,median_actual_min,median_osrm_min,median_osrm_km,major_route_type,shrunk_ratio
IND000000AAL,IND411033AAA,14,2.5708333333333333,68.5,26.5,24.28745,Carting,2.4438456284153007
IND000000AAS,IND783370AAC,9,1.7666666666666666,53.0,30.0,41.7822,FTL,1.8319962157048246
IND000000AAZ,IND444203AAA,1,6.020833333333333,289.0,48.0,67.4982,FTL,2.5143966527008152
IND000000AAZ,IND444303AAA,1,4.0,160.0,40.0,53.7322,FTL,2.225706176510339
IND000000ABA,IND683565AAA,5,1.0,22.0,21.0,18.699,Carting,1.6259314456035767
IND000000ABD,IND562132AAA,12,1.704054054054054,630.5,370.0,443.66679999999997,FTL,1.7793662157900567
IND000000ABG,IND501359AAF,9,7.535714285714286,211.0,28.0,32.7866,Carting,5.380444964871194
IND000000ACA,IND140406AAA,2,1.7567567567567568,65.0,37.0,51.5829,FTL,1.886682093635736
IND000000ACA,IND142001AAB,8,1.6520737327188941,99.0,56.5,76.09785,FTL,1.771180935523109
IND000000ACA,IND142401AAA,6,2.35,54.5,25.5,36.48175,FTL,2.139995269631031
IND000000ACA,IND143001AAA,1,1.7027027027027026,189.0,111.0,155.23260000000002,FTL,1.897520848325011
IND000000ACA,IND144001AAB,14,1.6020408163265305,82.5,50.0,70.09445,FTL,1.7004257332071901
IND000000ACA,IND144514AAA,12,1.8174603174603174,114.5,63.0,85.45885,FTL,1.8549703913942324
IND000000ACA,IND147301AAA,2,2.4144144144144146,81.0,32.0,43.52075,FTL,2.0510965080501506
IND000000ACA,IND152026AAA,1,1.5299145299145298,179.0,117.0,154.5822,FTL,1.8728368236409862
IND000000ACA,IND160002AAC,60,2.0798771121351765,132.0,62.0,88.88645,FTL,2.0662510600558024
IND000000ACB,IND000000AEL,17,1.8253968253968254,114.0,63.0,61.0186,Carting,1.9094344318863208
IND000000ACB,IND110024AAA,6,2.07658371040724,138.0,66.5,59.611999999999995,Carting,2.1120623470068987
IND000000ACB,IND110030AAD,22,1.6726844583987441,85.0,50.0,49.416,Carting,1.7744394280861326
IND000000ACB,IND110037AAK,26,1.8053306342780027,69.5,38.0,38.93395,Carting,1.8694950747771066
IND000000ACB,IND110043AAA,10,2.1212660028449504,79.5,38.0,38.5343,Carting,2.131119120630553
IND000000ACB,IND110043AAC,9,1.9454545454545455,107.0,55.0,52.015,Carting,2.0262891207153504
IND000000ACB,IND110052AAA,2,1.500324464633355,102.0,68.0,65.72460000000001,Carting,1.9857368538632567
IND000000ACB,IND110064AAA,38,1.6083634342873019,97.0,58.0,55.842,Carting,1.6818876455581095
IND000000ACB,IND110085AAB,18,1.6811896400351185,113.5,67.0,65.45724999999999,Carting,1.797777475927978
IND000000ACB,IND110092AAC,5,1.6575342465753424,121.0,74.0,69.59060000000001,Carting,1.9248106485923686
IND000000ACB,IND110095AAB,26,1.9357928047968023,150.5,77.0,71.6623,Carting,1.9754955883236314
IND000000ACB,IND121002AAB,38,1.9621212121212122,127.5,66.0,77.9867,Carting,1.987405726414668
IND000000ACB,IND121004AAB,23,1.803030303030303,119.0,66.0,78.508,Carting,1.874308374873666
IND000000ACB,IND122001AAA,39,1.8108108108108107,62.0,35.0,35.5418,Carting,1.8557081671835767
IND000000ACB,IND122015AAC,2,2.4449579831932775,84.5,34.5,35.485749999999996,Carting,2.221895233503237
IND000000ACB,IND124103AAA,10,1.8043478260869565,84.0,47.0,49.4519,FTL,1.8514638435276214
IND000000ACB,IND124112AAA,5,2.065934065934066,188.0,90.0,112.7103,FTL,1.9917830513857004
IND000000ACB,IND125001AAA,14,2.0896351575456054,281.0,135.0,170.3132,FTL,2.0417417720605426
IND000000ACB,IND125005AAA,4,1.9522058823529411,265.5,135.5,170.56535,FTL,1.938876676498414
IND000000ACB,IND125033AAA,2,2.286087570621469,272.0,119.0,152.07659999999998,FTL,2.019014797101914
IND000000ACB,IND127021AAA,1,1.8217821782178218,184.0,101.0,125.4238,FTL,1.914532201970028
IND000000ACB,IND131028AAB,73,2.118811881188119,211.0,98.0,103.9784,Carting,2.120993838333823
IND000000ACB,IND160002AAC,41,2.2843601895734595,482.0,211.0,280.3352,FTL,2.2391215108103024
IND000000ACB,IND201007AAA,9,1.5974025974025974,123.0,77.0,72.811,Carting,1.8174579518841816
IND000000ACB,IND201301AAF,9,1.425,114.0,78.0,75.2903,Carting,1.7140163934426231
IND000000ACB,IND201301AAM,27,2.625,213.0,82.0,92.0435,Carting,2.5381892697466464
IND000000ACB,IND209304AAA,10,2.261682242990654,729.0,321.0,444.451,FTL,2.137297854092432
IND000000ACB,IND282002AAD,3,2.073529411764706,282.0,137.0,183.7427,FTL,1.977836830096277
IND000000ACB,IND301001AAB,6,1.7142857142857144,156.5,92.0,115.6808,FTL,1.8221381267738883
IND000000ACB,IND301705AAA,1,3.75,210.0,56.0,62.9226,FTL,2.1899918907960534
IND000000ACB,IND302014AAA,24,1.9053254437869822,322.0,169.0,221.4026,FTL,1.9102584628819983
IND000000ACB,IND302022AAD,14,1.6902540898016012,286.5,169.0,221.76344999999998,FTL,1.7621750246397394
IND000000ACB,IND328001AAA,5,1.8181818181818181,360.0,198.0,244.709,FTL,1.8791683933164969
IND000000ACB,IND382430AAB,13,1.8037974683544304,1140.0,632.0,873.1134000000001,FTL,1.8436479117989457
IND000000ACB,IND390022AAA,8,1.792660626541994,1245.0,695.0,913.333,FTL,1.8515163034220232
IND000000ACB,IND411033AAA,15,1.741839762611276,1761.0,1011.0,1361.7319,FTL,1.7955971273686433
IND000000ACB,IND421302AAG,26,1.9325079148730602,1861.0,963.0,1322.60095,FTL,1.932035906945998
IND000000ACB,IND462022AAA,12,1.8471986417657045,1088.0,588.5,814.1079,FTL,1.8747959409311572
IND000000ACB,IND474003AAA,2,4.475174978127734,1134.5,253.0,304.9602,FTL,2.5662866489784806
IND000000ACB,IND501359AAE,21,1.9176672384219553,2236.0,1166.0,1563.0638,FTL,1.9204057497197569
IND000000ACB,IND521225AAB,5,2.0327613104524183,2606.0,1283.0,1729.0893999999998,FTL,1.9767045261667697
IND000000ACB,IND562132AAA,44,1.8550212857173838,2869.5,1548.0,2065.86425,FTL,1.8640175961427452
IND000000ACB,IND600056AAB,10,1.8863722235716405,3038.0,1610.0,2190.58095,FTL,1.9027290919555488
IND000000ACB,IND712311AAA,34,2.095078351892404,2126.5,1016.0,1428.03415,FTL,2.070315179997853
IND000000ACB,IND751002AAB,13,2.0403087478559176,2379.0,1167.0,1638.9641,FTL,2.005471418826279
IND000000ACB,IND821115AAB,14,2.074260339456697,1341.0,646.0,901.24055,FTL,2.0309793993983067
IND000000ACB,IND834002AAB,9,1.8895417156286722,1608.0,851.0,1192.9206,FTL,1.9057212450820282
IND000000ACB,IND842001AAA,12,2.051457510515565,1515.0,737.5,995.48165,FTL,2.0109685200977307
IND000000ACK,IND501359AAF,22,3.0811688311688314,64.5,21.0,26.21835,Carting,2.8811057209769158
IND000000ACN,IND501359AAF,11,1.9411764705882353,34.0,18.0,21.7443,Carting,2.014011004594702
IND000000ACT,IND000000ACB,71,1.275,54.0,42.0,43.7481,FTL,1.3260382238386021
IND000000ACT,IND131028AAB,32,1.604064039408867,91.5,56.0,43.56815,Carting,1.689876188492713
IND000000ACT,IND160002AAC,14,2.0558510638297873,386.5,188.0,226.23829999999998,FTL,2.0180929064594695
IND000000ADV,IND600044AAC,11,2.0526315789473686,76.0,37.0,47.9367,Carting,2.0861290158859056
IND000000AEL,IND000000ACB,15,1.8305084745762712,108.0,58.0,63.1451,Carting,1.9210891914420674
IND000000AEM,IND110037AAB,11,4.0,168.0,40.0,41.5922,Carting,3.3461909353905495
IND000000AEM,IND110064AAB,11,2.0925925925925926,113.0,55.0,53.5163,Carting,2.1119861423622273
IND000000AET,IND000000AAS,8,2.4646938775510203,119.0,48.5,68.7217,FTL,2.23553530399861
IND000000AFF,IND734203AAA,3,4.842105263157895,92.0,19.0,27.8663,FTL,2.90069544722734
IND000000AFG,IND673027AAB,1,1.826086956521739,84.0,46.0,41.4264,FTL,1.915147170299159
IND000000AFJ,IND695121AAA,13,1.0740740740740742,28.0,26.0,18.5917,Carting,1.413063624452753
IND000000AFJ,IND695572AAB,1,2.2222222222222223,60.0,27.0,22.1852,Carting,2.158209731980224
IND000000AFR,IND683511AAA,6,2.171875,70.5,32.0,28.6496,Carting,2.1597079918032787
IND000000AFT,IND400072AAB,6,1.9236842105263157,36.0,19.0,21.3712,Carting,2.0356125970664363
IND000000AFT,IND400701AAA,1,2.9473684210526314,56.0,19.0,25.0439,Carting,2.2618020460988535
IND000000AFT,IND400706AAA,1,5.222222222222222,94.0,18.0,18.1351,Carting,2.586781160551652
IND000000AFT,IND410206AAA,1,3.066666666666667,46.0,15.0,19.3999,Carting,2.2788446526151445
IND000000AFT,IND410206AAB,1,3.1176470588235294,53.0,17.0,20.5299,Carting,2.2861275657804105
IND000000AFT,IND410209AAA,22,2.2583333333333333,31.5,14.5,17.88745,Carting,2.2345921155347384
IND000000AFT,IND410210AAA,9,3.6,50.0,15.0,17.2955,Carting,3.0190163934426226
IND000000AFT,IND421302AAG,9,2.238095238095238,48.0,21.0,23.1841,Carting,2.201873536299766
IND110014AAA,IND110024AAA,9,3.4285714285714284,34.0,11.0,11.2342,Carting,2.91615925058548
IND110020AAB,IND110037AAM,4,3.937747035573123,88.0,23.5,26.3062,Carting,2.8636234043931834
IND110024AAA,IND110014AAA,9,2.0,14.0,7.0,9.7226,Carting,2.059016393442623
IND110030AAD,IND000000ACB,7,3.106382978723404,146.0,47.0,45.9485,Carting,2.6638405194387054
IND110035AAC,IND110037AAM,2,1.5083333333333333,28.5,19.0,21.1231,Carting,1.9877390710382512
IND110037AAK,IND000000ACB,34,2.1578947368421053,82.0,38.0,38.9178,Carting,2.1563416738567733
IND110037AAM,IND000000ACB,12,1.5424418604651162,66.5,43.0,44.05995,FTL,1.6716247533974316
IND110037AAM,IND110020AAB,6,3.880740740740741,100.5,25.5,26.762549999999997,Carting,3.014140862173649
IND110037AAM,IND110024AAA,11,2.72,66.0,24.0,24.7317,Carting,2.5179556412729025
IND110037AAM,IND110035AAC,25,2.238095238095238,47.0,21.0,18.7921,Carting,2.220568608194203
IND110037AAM,IND110064AAA,1,2.1875,35.0,16.0,12.964,Carting,2.153249414519906
IND110037AAM,IND110085AAB,14,2.0384615384615383,49.5,24.5,22.31185,Carting,2.0711853720050444
IND110037AAM,IND110092AAC,1,2.193548387096774,68.0,31.0,27.751,Carting,2.1541134698194453
IND110037AAM,IND121004AAB,35,2.2142857142857144,65.0,27.0,28.9512,Carting,2.2045181927229107
IND110037AAM,IND125001AAA,1,4.015037593984962,534.0,133.0,164.5073,FTL,2.2278544042224766
IND110037AAM,IND131028AAB,1,2.210526315789474,126.0,57.0,44.0332,Carting,2.1565388882041168
IND110037AAM,IND201001AAC,1,2.8043478260869565,129.0,46.0,41.939800000000005,Carting,2.2413705325323288
IND110037AAM,IND201007AAA,6,2.492016806722689,88.0,34.5,30.137050000000002,Carting,2.319778895164623
IND110037AAM,IND201301AAD,3,4.5675675675675675,169.0,37.0,32.6532,Carting,2.9542165115935606
IND110037AAM,IND201301AAF,5,2.1538461538461537,84.0,39.0,35.1773,Carting,2.150406970079101
IND110037AAM,IND202001AAB,20,1.8724508050089446,241.0,129.0,153.00295,FTL,1.8857292052212027
IND110037AAM,IND209304AAA,18,2.140273025377816,717.0,335.0,465.3202,FTL,2.0877024038488776
IND110037AAM,IND226004AAC,1,1.8293333333333333,686.0,375.0,489.2995,FTL,1.915610938415101
IND110037AAM,IND282001AAA,2,2.8709951673527834,430.5,149.5,202.68355,FTL,2.1652416962847427
IND110037AAM,IND282001AAC,1,2.1059602649006623,318.0,151.0,202.6035,FTL,1.9551290714961482
IND110037AAM,IND282002AAD,1,1.966887417218543,297.0,151.0,206.0601,FTL,1.9352615218272737
IND110037AAM,IND421302AAG,13,2.0150451354062184,2009.0,997.0,1367.7966,FTL,1.9881857892554322
IND110037AAM,IND811399AAA,7,2.1052631578947367,80.0,37.0,32.5571,FTL,2.0243681031411946
IND110039AAA,IND110085AAB,3,3.7333333333333334,56.0,15.0,13.4506,Carting,2.6761384335154825
IND110043AAA,IND000000ACB,5,5.05,202.0,40.0,39.945800000000006,Carting,3.4668405365126675
IND110043AAA,IND110078AAA,22,1.6978260869565216,37.5,21.5,18.98485,Carting,1.7941935648101006
IND110043AAC,IND000000ACB,1,1.6206896551724137,94.0,58.0,55.6689,Carting,2.0722765081159653
IND110044AAB,IND000000ACB,59,1.7142857142857142,104.0,61.0,65.57560000000001,Carting,1.7542785083768688
IND110044AAB,IND110030AAD,22,1.657142857142857,25.0,15.0,13.515799999999999,Carting,1.7622281699565072
IND110044AAB,IND110037AAM,3,2.0476190476190474,43.0,23.0,24.686,Carting,2.114233671610721
IND110044AAB,IND131028AAB,28,1.7396925227113906,93.0,53.0,43.7872,Carting,1.81166578051642
IND110044AAB,IND201007AAA,11,2.5217391304347827,58.0,23.0,19.7873,Carting,2.389669196260115
IND110044AAB,IND201301AAF,7,1.6111111111111112,29.0,14.0,12.7695,Carting,1.8586941291859325
IND110052AAA,IND000000ACB,10,1.6617866004962778,107.0,63.5,67.77295000000001,Carting,1.8439444941626326
IND110064AAA,IND000000ACB,26,4.42654986522911,237.5,54.0,58.0345,Carting,3.9992356999248813
IND110064AAA,IND110005AAA,2,2.6538461538461537,31.5,12.0,11.3041,Carting,2.2741172761664563
IND110064AAA,IND110046AAA,1,3.0,45.0,15.0,13.586200000000002,Carting,2.269320843091335
IND110078AAA,IND110043AAA,8,2.732919254658385,60.0,21.0,19.5305,Carting,2.4820428527790304
IND110083AAA,IND110085AAB,1,2.9411764705882355,50.0,17.0,14.7983,Carting,2.260917481746797
IND110085AAB,IND000000ACB,7,2.6984126984126986,170.0,64.0,67.5514,Carting,2.444164214656018
IND110085AAB,IND110039AAA,4,1.7380952380952381,28.5,16.0,13.5774,Carting,1.9837626854020296
IND110085AAB,IND110083AAA,3,4.0,56.0,15.0,11.9201,Carting,2.7650273224043715
IND110085AAB,IND110085AAA,1,2.076923076923077,27.0,13.0,11.4111,Carting,2.137452711223203
IND110085AAB,IND110087AAA,3,2.0,26.0,13.0,11.7553,Carting,2.098360655737705
IND110092AAC,IND000000ACB,6,2.196239151398264,144.0,68.0,69.1793,Carting,2.1718900675024106
IND110092AAC,IND110093AAA,1,3.25,52.0,16.0,12.8317,Carting,2.3050351288056206
IND110093AAA,IND110092AAC,1,3.2222222222222223,58.0,18.0,15.547,Carting,2.3010668748373666
IND110095AAB,IND000000ACB,1,1.5211267605633803,108.0,71.0,71.6641,Carting,2.058053237457532
IND121001AAA,IND121004AAB,22,1.9166666666666665,21.5,11.0,12.05885,Carting,1.9661397345823575
IND121002AAB,IND000000ACB,24,2.287878787878788,150.5,65.5,76.6052,Carting,2.259811227024342
IND121004AAA,IND121004AAB,9,2.2666666666666666,32.0,14.0,17.301299999999998,Carting,2.219016393442623
IND121004AAB,IND000000ACB,21,1.8615384615384616,121.0,65.0,76.5961,Carting,1.925094577553594
IND121004AAB,IND110037AAM,26,2.5592592592592593,66.0,25.5,28.9989,Carting,2.4820620825743775
IND121004AAB,IND121001AAA,19,1.8181818181818181,20.0,11.0,11.509,Carting,1.8972280178837557
IND121004AAB,IND121004AAA,14,1.6923076923076923,22.5,12.5,16.84585,Carting,1.8288776796973518
IND121004AAB,IND121004AAC,9,1.8461538461538463,26.0,13.0,16.6152,Carting,1.9667087011349307
IND121004AAB,IND121102AAA,28,1.9342672413793105,59.0,29.0,40.3407,Carting,1.971903784125295
IND121004AAC,IND121004AAB,3,8.7,87.0,12.0,15.2706,Carting,4.331693989071038
IND121102AAA,IND121004AAB,11,4.2,124.0,29.0,40.2548,Carting,3.4756027000964322
IND122001AAA,IND000000ACB,13,1.5294117647058822,52.0,34.0,35.8336,Carting,1.7246104654113588
IND122001AAA,IND110037AAM,1,3.8666666666666667,58.0,15.0,13.2356,Carting,2.393130366900859
IND122001AAA,IND122001AAD,3,3.2,41.0,13.0,12.7244,Carting,2.498360655737705
IND122001AAA,IND122101AAC,1,1.375,22.0,16.0,13.6755,Carting,2.0371779859484778
IND122001AAD,IND122050AAA,8,2.113095238095238,43.5,20.0,16.741149999999998,Carting,2.127857700457232
IND122001AAJ,IND507123AAA,9,0.7758620689655172,45.0,58.0,39.492,FTL,1.2375134570841353
IND122002AAD,IND122503AAA,2,2.285,51.0,22.5,29.54775,Carting,2.181905737704918
