center,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
IND000000AAL,0.23878218,0.5122883,0.6037998,-0.46876028,0.54003143,0.21497762,-0.35510892,0.5202522,-0.2855504,0.113289125,0.34526986,0.6954986,0.6303952,0.18471979,0.7136408,0.3290894,0.45385292,0.08810657,1.0020412,0.92925346,-0.5809778,-0.20396583,-0.94123656,-0.2949943,0.025526177,-0.24361685,0.27529064,-0.029664163,-0.6239323,-1.0604707,-0.23284021,0.816635
IND000000AAQ,0.12894993,0.17648253,-0.26322562,0.069574505,0.44330618,0.16538781,0.083910376,0.12882373,-0.04218189,-0.10524255,-0.19267972,0.6275372,0.29483873,-0.1191633,-0.14701553,-0.4605711,0.2065431,0.2687718,0.19459578,0.076860346,-0.039149594,-0.72668207,-0.40292686,-0.18415804,0.3228867,-0.29694465,0.33576104,0.22472832,0.06647327,0.45207378,-0.09731173,0.62215614
IND000000AAS,0.45689005,0.4464139,0.7572105,1.0011125,1.6864947,-0.80345505,-0.8442865,0.53857213,-1.5783877,0.77444017,-0.2537302,0.98340917,0.06509288,0.767462,-0.24260493,-0.28407988,-0.8774582,-0.014039433,-0.42966077,0.7158184,0.4008427,-0.7391978,-0.4435404,1.1545155,-0.20326367,-0.83702695,0.8688652,0.9390188,0.85279465,-0.61950916,0.013318131,1.1870877
IND000000AAZ,1.2681558,1.5735807,0.35048652,0.22300446,0.8839974,1.5547742,-0.23962757,0.61149955,0.04529277,0.23162486,1.2512704,0.7282277,0.09369114,1.9278524,0.14487667,-0.41110846,0.1455564,-0.04330921,0.21518388,0.5780536,0.48739934,-0.87967175,-0.8539602,-0.2974675,0.013201318,-0.07305858,0.90352595,-0.21274544,-0.4129822,-0.03578224,0.45650297,1.2804984
IND000000ABA,0.21422222,0.052884758,0.32276273,-1.4585332,1.2994267,-0.06361248,-0.43455845,-0.15919721,-0.38827008,0.35900396,1.1009557,-0.062408708,-0.3583447,0.9887869,-0.7478721,-0.80496883,0.55170155,-0.43835482,0.75552034,0.5025374,0.2930982,-0.5339386,0.0041303197,-0.5745998,-0.72644126,0.08913518,0.34547284,0.5435138,0.057477236,-0.8492764,-1.0622605,1.2530065
IND000000ABD,-0.27292955,0.14884998,0.27392465,-1.2765545,0.5981186,0.20554666,-0.3535003,0.11349434,0.2728999,0.1332596,1.151329,0.05953589,-0.23985842,1.0690882,-0.51823384,-0.42301986,-0.05120592,-0.11219572,0.3903632,0.1570281,0.023307193,-0.69712484,-0.71428615,-0.777201,-0.40835735,-0.6169781,-0.2591321,0.8571755,-0.14783703,0.09903055,-0.29876116,1.1523255
IND000000ABG,0.033973567,0.06965526,-0.034661006,-0.05463894,0.31917647,-0.062871024,-0.007548366,0.047770113,-0.035738707,0.15177234,-0.017076777,0.21619058,0.07580866,0.14463085,-0.059136294,-0.02828803,-0.10339122,-0.12163664,0.10218168,0.06963851,0.09611551,-0.21405144,-0.06948049,0.0048688776,0.101043746,0.033153765,0.11720245,-0.026486646,-0.05726742,-0.016138706,-0.1126026,0.37398157
IND000000ACA,0.11362244,1.6295216,-0.3231419,-0.33386675,1.3407407,0.09957327,0.037514444,0.90949094,0.54884374,0.22574443,0.3468579,0.6496844,0.1404421,-0.31298307,-1.8478591,-0.46415782,0.020898666,-0.16563375,-0.29425776,0.35175693,0.501947,-0.022527307,-0.7833592,0.39744666,0.6193783,0.7850616,0.73109967,0.11703251,-0.046963096,-1.1125134,0.024779603,1.8241866
IND000000ACB,-0.15886079,0.56122404,-0.14487271,-0.19970767,1.0544379,-0.018200602,0.37379822,0.10149334,-0.36694336,-0.3599299,0.47634414,0.23393565,-0.03652359,0.023540465,0.9835022,-0.06418967,0.2844739,-0.1381036,-0.5439639,-0.03179617,-0.4094194,-0.5855093,-0.27289316,-0.37568086,0.5562265,-0.13160196,-0.048570294,0.257785,-0.0959043,-0.4202261,0.24043436,0.858181
IND000000ACK,0.06364939,0.09060767,-0.02351306,-0.047240954,0.32454,-0.0138946725,-0.011541705,0.026049873,-0.052993495,0.08103766,-0.019899987,0.22173265,0.06750012,0.09981989,-0.069858335,-0.033594456,-0.10020636,-0.083831474,0.08696692,0.07027805,0.022285724,-0.23150662,-0.0893703,-0.034100045,0.16542733,0.049009863,0.11094354,0.031263858,-0.08040156,-0.09720443,-0.06982929,0.3583514
