center,e0,e1,e2,e3,e4,e5,e6,e7,e8,e9,e10,e11,e12,e13,e14,e15,e16,e17,e18,e19,e20,e21,e22,e23,e24,e25,e26,e27,e28,e29,e30,e31
IND000000AAL,-0.032937463,0.30272537,0.6396146,-0.45754236,0.5624816,-0.7302282,0.57419634,0.61800903,0.12005103,-0.10445915,-0.3188282,0.44093823,0.9760491,0.42735612,-0.08118789,0.22098811,0.9707829,0.782249,-0.31430432,-0.42609113,0.47814158,-0.7220292,-0.7239041,-0.41121197,0.57840717,-0.08380658,0.8109115,0.8650546,-0.18827106,-0.5059725,0.5284761,0.08295521
IND000000AAS,0.4695625,-0.25427753,1.2293174,0.16515404,0.86328465,-2.4332275,-0.009443804,0.72278535,0.30762133,0.21332107,-0.24381086,0.4523019,0.15732346,-0.11951013,-0.091067076,-1.832049,0.43642825,0.10769398,-0.35808435,-0.095538825,-0.16176406,0.4208611,-1.0156511,0.30873027,-0.6285566,-0.6153578,0.49645555,-0.14252456,-0.07234094,-1.7067674,-0.5027234,-0.28635028
IND000000AAZ,0.50294924,0.031207426,1.1683873,-0.6714054,0.39035496,-0.0747724,1.0394591,0.18553822,0.6358668,0.5080333,0.11316707,0.34739143,0.57608384,-1.028425,0.3082561,-0.47051612,0.29406348,0.80071175,-1.3640324,-0.66242164,-0.15658516,-0.12414024,-2.0301702,-1.8167368,-0.3962276,0.39295906,-0.35143483,0.5126519,0.142526,-1.3198979,-0.31903106,0.76918983
IND000000ABA,-0.35947517,0.36148575,1.3819302,-0.8683993,-0.07784024,-0.21776333,-0.17361204,-0.23917249,1.1501409,0.96772164,-0.653827,1.403586,0.32666507,0.27728024,-0.45041534,0.15514164,0.583646,-0.061137173,0.4985221,0.08480088,0.33654153,-1.3204008,-0.5411381,-0.1377815,-0.52009624,-0.48788556,0.31217515,-0.37157607,0.22686392,-0.6006526,-0.44856435,0.7481576
IND000000ABD,-0.35157987,0.31770566,1.4304615,-0.19039325,-0.16250657,0.119239815,-0.09620651,-0.32453668,0.5481284,0.8117111,-0.61131257,0.8966631,-0.11401158,0.21612687,-0.18728341,0.63649416,0.47518307,0.75246155,-0.24263544,-0.067844026,-0.13875686,-0.92090344,-0.7196026,-0.069389984,0.041305553,-0.71868855,0.17820187,0.2440118,0.4160899,-0.5007136,-0.24553674,0.3445761
IND000000ABG,0.13947795,-0.09013308,0.082576364,-0.101937324,0.050089784,-0.21454841,0.083987966,-0.04582071,0.17644213,0.027374689,-0.024921669,0.20807223,0.030104605,0.13799699,-0.058667365,-0.25417557,0.115394585,0.09790881,-0.028560944,-0.007102078,0.07737405,-0.06251918,-0.27994758,-0.14372677,-0.070707545,-0.03339724,0.005894325,-0.07991293,0.08471657,-0.26288334,-0.022808013,0.16271253
IND000000ACA,-1.1810265,-0.10456128,0.82221216,0.20176643,-0.88000864,-1.158173,1.6382754,-0.14119385,1.1638784,0.77945536,-0.35507765,1.2466902,0.44791067,0.73455393,0.12759031,-1.3019836,0.73482174,0.76051164,-0.77395767,-0.24498512,0.017743483,0.45494944,-0.7572492,-0.4519028,-0.15667999,0.59951586,-0.034195945,-0.42560673,-0.26712662,-0.6903653,0.52385235,0.19000562
IND000000ACB,0.43077162,0.4742129,0.46233502,-0.28704822,-0.044791043,-0.9631315,0.24448963,0.19906577,0.1476204,-0.32691437,0.21525148,0.56343377,-0.084320694,0.3101971,0.64737266,0.09496787,0.4376646,0.73399913,-0.27108625,-0.044172734,-0.24299419,-0.49052092,-0.2468373,-0.40493554,0.18192977,0.18313177,0.13391232,0.056703854,0.92308164,-0.15933867,0.68055755,-0.5813553
IND000000ACK,0.21087609,-0.07604337,0.15307292,-0.05930979,0.08412449,-0.22744946,0.059341695,-0.031717233,0.09127272,0.06523424,-0.064487405,0.17677455,0.0024776754,0.20311955,0.023602411,-0.22976193,0.09974888,0.10823857,-0.04233735,-0.012471774,0.05139724,-0.12272297,-0.24409527,-0.14918043,-0.034473956,-0.010351147,0.08652374,-0.08322211,0.083429486,-0.22669706,-0.07267777,0.110227756
IND000000ACN,0.21112294,-0.097261466,0.11023056,-0.057363104,0.08229175,-0.18305776,0.13594973,-0.061570086,0.17731322,0.09388093,-0.00024467907,0.1959805,0.0548837,0.17394567,-0.064204335,-0.3107935,0.129768,0.06545999,-0.08737638,0.061427623,0.16645263,-0.05571989,-0.28856063,-0.20795475,-0.07557533,-0.002362145,0.11007733,-0.18776794,0.042123318,-0.29652926,-0.15901092,0.26381627
