center,out_degree,in_degree,flow_out_legs,flow_in_legs,betweenness_time_cost,clustering_directed,throughput_trips,dwell_gap_median_min
IND000000AAL,1,1,14,14,0.0,0.0,0,91.57578709999997
IND411033AAA,19,22,319,263,0.10009146636272992,0.055762081784386616,30,113.31041676666666
IND000000AAS,1,1,9,8,0.003246897356352632,0.0,8,38.79323135
IND783370AAC,1,1,8,9,0.003241745438174604,0.0,8,26.631230258333332
IND000000AAZ,2,2,2,2,0.0016248357330704006,0.16666666666666666,0,24.081522641666638
IND444203AAA,1,2,5,3,0.0016145318967143445,0.3333333333333333,2,332.4700859833334
IND444303AAA,1,1,2,1,0.0016196838148923726,0.5,1,36.12093970833333
IND000000ABA,1,1,5,10,0.000409379344454079,0.5,5,37.64792176666666
IND683565AAA,1,1,9,5,0.0004042274262760509,0.5,5,28.768166133333338
IND000000ABD,1,1,12,13,0.01271414146057673,0.0,12,68.3726786416666
IND562132AAA,35,36,574,512,0.09102904413687934,0.05156313438895656,27,141.13358345000017
IND000000ABG,1,0,9,0,0.0,0.0,0,46.811826133333284
IND501359AAF,0,3,0,42,0.0,0.0,0,
IND000000ACA,9,12,106,105,0.013300271228677003,0.08048780487804878,35,106.79724185833331
IND140406AAA,1,1,7,2,0.00040898304305576915,0.5,2,19.80191131666666
IND142001AAB,2,2,21,20,0.0,0.6666666666666666,20,42.01258973333333
IND142401AAA,1,2,5,9,0.0012110970732349133,0.5,4,49.68550636666667
IND143001AAA,1,3,14,24,0.0,1.0,11,74.4360400333333
IND144001AAB,5,5,43,57,0.004058918921489523,0.2073170731707317,26,17.689390083333336
IND144514AAA,2,1,6,12,0.00040898304305576915,0.5,4,8.097829341666667
IND147301AAA,1,2,1,3,0.0,0.5,0,21.99625855
IND152026AAA,4,2,21,21,0.0012756942011594194,0.35714285714285715,18,61.87131064999994
IND160002AAC,28,30,296,322,0.04985550851017623,0.023518631643249847,0,135.9711696333334
IND000000ACB,48,41,777,694,0.19922249628665592,0.02664778578784758,86,151.13042246666657
IND000000AEL,1,1,15,17,0.0,0.0,0,161.71567148333332
IND110024AAA,1,3,9,26,0.0004101719472506987,0.1,0,28.89612026666667
IND110030AAD,1,2,7,44,0.0,0.5,0,27.408780250000007
IND110037AAK,1,1,34,26,0.0,0.0,0,144.80570005833331
IND110043AAA,2,2,27,18,0.0008136067707301299,0.0,0,37.17981413333334
IND110043AAC,1,1,1,9,0.0,0.0,0,139.126036
IND110052AAA,1,1,10,2,0.0,0.0,0,111.97910329999999
IND110064AAA,3,2,29,39,0.0008195512917047777,0.1111111111111111,0,25.4526165333333
IND110085AAB,5,4,18,36,0.0024443870247751786,0.030303030303030304,0,18.434563308333317
IND110092AAC,2,3,7,7,0.0008136067707301299,0.125,0,33.48952001666663
IND110095AAB,1,1,1,26,0.0,0.0,0,57.24475661666665
IND121002AAB,1,1,24,38,0.0,0.0,0,77.06585234999999
IND121004AAB,6,8,117,112,0.004055748510303044,0.029411764705882353,0,27.65693943333332
IND122001AAA,4,2,18,41,0.006094322903208932,0.07142857142857142,0,42.36855875
IND122015AAC,0,1,0,2,0.0,0.0,0,
IND124103AAA,1,1,6,10,0.0006134745645836537,0.5,6,17.29658309166667
IND124112AAA,2,1,5,5,0.0008120215651368905,0.6666666666666666,5,21.147013750000013
IND125001AAA,7,5,30,22,0.0028367254091019338,0.0625,5,90.16737889166671
IND125005AAA,5,4,14,9,0.010053373872324372,0.08571428571428572,0,84.01497583333332
IND125033AAA,2,2,5,5,0.0008068696469588623,0.5,5,10.847714250000003
IND127021AAA,1,2,3,7,0.0012217972109892794,0.16666666666666666,2,51.703654133333345
IND131028AAB,18,19,200,262,0.06433873941280815,0.031914893617021274,13,165.46667717499997
IND201007AAA,4,7,16,46,0.0036566730022050214,0.049019607843137254,0,53.71888310833333
IND201301AAF,2,8,25,68,0.000827081018272665,0.06818181818181818,0,46.48683384999998
IND201301AAM,1,1,21,27,0.0,0.0,0,96.1210638666667
IND209304AAA,13,15,138,111,0.050612444180948055,0.024193548387096774,43,107.53764461666667
IND282002AAD,4,4,7,8,0.0036947179364427672,0.21428571428571427,4,84.04922568333333
IND301001AAB,3,4,12,26,0.003246897356352632,0.18421052631578946,2,66.474356825
IND301705AAA,1,2,1,7,0.0012305158417520961,0.16666666666666666,0,12.651975449999995
IND302014AAA,7,10,61,69,0.0346961874220277,0.06390977443609022,7,182.52591338333332
IND302022AAD,1,1,7,14,0.0,0.0,0,384.03933943333334
IND328001AAA,3,3,8,7,0.008189568396073129,0.46153846153846156,6,15.35050741666668
IND382430AAB,12,16,203,170,0.04054777571877185,0.032171581769437,0,137.1066368333333
IND390022AAA,4,5,36,24,0.02119538768580591,0.15151515151515152,22,60.50418811666667
IND421302AAG,27,27,554,414,0.049819841384328344,0.05634301913536499,7,144.20053515833334
IND462022AAA,9,13,74,89,0.04307875459907773,0.05506607929515418,11,72.64829800833333
IND474003AAA,6,8,24,29,0.007248748876485536,0.08426966292134831,13,76.77271525
IND501359AAE,27,30,251,307,0.11392872598611678,0.03670886075949367,3,151.86333109999998
IND521225AAB,7,7,51,46,0.011313612318949708,0.06818181818181818,16,149.7111431333333
IND600056AAB,18,18,222,186,0.045826708494958256,0.03970826580226904,0,140.75488885
IND712311AAA,21,21,212,162,0.0956429831667018,0.030035335689045935,2,105.21098254166667
IND751002AAB,6,12,65,73,0.05915868383550005,0.09,41,111.04100508333329
IND821115AAB,5,4,23,30,0.006483490876349208,0.07352941176470588,0,37.44691775000001
IND834002AAB,5,5,52,42,0.005805419183841048,0.13953488372093023,6,173.68372409166668
IND842001AAA,15,11,122,107,0.024851664386612623,0.034161490683229816,12,69.09399919999998
IND000000ACK,1,0,22,0,0.0,0.0,0,64.09045613333333
IND000000ACN,1,1,11,6,3.963013983098538e-07,0.0,0,51.56505365000001
IND000000ACT,3,0,117,0,0.0,1.0,0,101.67011976666663
IND000000ADV,1,0,11,0,0.0,0.0,0,46.712382950000006
IND600044AAC,0,3,0,40,0.0,0.0,0,
IND000000AEM,2,0,22,0,0.0,0.0,0,126.184012325
IND110037AAB,0,1,0,11,0.0,0.0,0,
IND110064AAB,0,1,0,11,0.0,0.0,0,
IND000000AET,1,1,8,4,0.0032520492745306603,0.0,3,36.256807275
IND000000AFF,1,1,3,3,3.963013983098538e-07,0.0,3,24.309432349999994
IND734203AAA,0,1,0,3,0.0,0.0,0,
IND000000AFG,1,0,1,0,0.0,0.0,0,23.182219399999994
IND673027AAB,2,1,3,1,1.5852055932394153e-06,0.16666666666666666,0,18.050200650000022
IND000000AFJ,2,1,14,1,7.926027966197076e-07,0.5,0,40.735174316666665
IND695121AAA,1,1,11,13,0.0004101719472506987,1.0,11,27.7616255
IND695572AAB,2,3,10,13,0.0008207401958997073,0.125,8,19.272874283333334
IND000000AFR,1,0,6,0,0.0,0.0,0,5.509825958333337
IND683511AAA,7,11,63,65,0.01770080195550962,0.026490066225165563,0,350.6971859833334
IND000000AFT,8,5,50,103,0.004065656045260791,0.0684931506849315,5,30.326935291666665
IND400072AAB,9,11,189,161,0.008361959504337916,0.11956521739130435,0,56.67059125
IND400701AAA,1,1,9,1,0.0,1.0,0,22.952964549999997
IND400706AAA,1,1,1,1,0.0,0.0,0,30.49272168333333
IND410206AAA,1,2,6,10,0.0004042274262760509,0.5,5,42.15126778333333
IND410206AAB,1,1,20,1,0.0,0.0,0,67.34316885833334
IND410209AAA,0,1,0,22,0.0,0.0,0,
IND410210AAA,0,1,0,9,0.0,0.0,0,
IND110014AAA,1,1,9,9,0.0,0.0,3,33.72330265
IND110020AAB,1,1,4,6,0.0,0.0,4,470.43740224166663
IND110037AAM,22,19,185,133,0.06217315042174395,0.040740740740740744,0,152.30552065
IND110035AAC,1,1,2,25,0.0,0.0,2,277.5630729083333
IND201001AAC,0,1,0,1,0.0,0.0,0,
IND201301AAD,1,1,2,3,0.0,0.0,2,42.248280841666684
IND202001AAB,4,4,14,28,0.003812815753139104,0.11538461538461539,11,71.81594909999998
IND226004AAC,0,1,0,1,0.0,0.0,0,
IND282001AAA,1,2,5,4,0.00924491901977227,1.0,2,99.0258770333333
IND282001AAC,1,1,2,1,0.0,0.5,1,87.70366706666667
IND811399AAA,2,1,35,7,0.004753635272726696,0.5,6,142.6393718833333
IND110039AAA,1,1,3,4,0.0,0.0,3,81.02090655
IND110078AAA,1,1,8,22,0.0,0.0,8,45.09221685
IND110044AAB,6,2,130,39,0.002798284173465878,0.26785714285714285,0,75.867551175
IND110005AAA,0,1,0,2,0.0,0.0,0,
IND110046AAA,0,1,0,1,0.0,0.0,0,
IND110083AAA,1,1,1,3,0.0,0.0,0,102.73763221666667
IND110085AAA,0,1,0,1,0.0,0.0,0,
IND110087AAA,0,1,0,3,0.0,0.0,0,
IND110093AAA,1,1,1,1,0.0,0.0,0,30.18967306666667
IND121001AAA,1,1,22,19,0.0,0.0,0,16.153125125
IND121004AAA,1,1,9,14,0.0,0.0,4,46.97127569999999
IND121004AAC,1,1,3,9,0.0,0.0,0,16.87483685
IND121102AAA,1,1,11,28,0.0,0.0,11,45.47890434999999
IND122001AAD,1,1,8,3,0.0004101719472506987,0.0,2,11.9275411
IND122101AAC,0,1,0,1,0.0,0.0,0,
IND122050AAA,0,1,0,8,0.0,0.0,0,
IND122001AAJ,1,1,9,12,0.0012217972109892794,0.0,9,12.817433516666668
IND507123AAA,1,1,8,9,0.0012166452928112513,0.0,8,10.92823739166667
IND122002AAD,1,0,2,0,0.0,0.0,0,24.524866116666665
IND122503AAA,1,1,2,2,0.0004050200290726706,0.0,2,104.593023825
IND122004AAA,2,0,33,0,0.0,0.0,0,37.10594415
IND122413AAE,0,1,0,32,0.0,0.0,0,
IND123001AAA,1,2,10,3,0.0008219291000946368,0.16666666666666666,2,26.94000666666666
IND123401AAB,1,1,10,10,0.00041136085144562824,0.0,9,29.689581783333338
IND123106AAB,0,1,0,10,0.0,0.0,0,
IND124001AAB,1,1,2,3,0.0008183623875098481,0.0,2,37.63415119166668
IND126102AAA,1,1,2,2,0.00081321046933182,0.0,2,24.232756349999995
IND124141AAA,1,1,7,2,0.0012114933746332232,0.0,2,16.68170278333335
IND124507AAA,2,1,10,10,0.00040977564585238885,0.0,10,31.669161449999997
IND131028AAE,0,1,0,1,0.0,0.0,0,
IND125047AAB,2,2,9,9,0.0016387062820112455,0.16666666666666666,8,15.891390849999993
IND125051AAA,1,3,4,11,0.0016284024456551893,0.16666666666666666,4,16.533395600000002
IND335513AAA,3,3,11,13,0.004870544185228104,0.03333333333333333,6,47.83080748333333
