source_center,destination_center,n_legs,median_ratio,median_actual_min,median_osrm_min,median_osrm_km,major_route_type,shrunk_ratio,excess_min_total,breached_legs,legs_total,source_short,dest_short
IND400072AAB,IND401104AAA,45,2.9411764705882355,46.0,15.0,20.0961,Carting,2.847807589766861,1439.0,31,45,Mumbai Hub,Mumbai_MiraRd_IP
IND400072AAB,IND400015AAA,38,3.176470588235294,54.0,17.0,18.6316,Carting,3.036162005785921,1730.0,30,38,Mumbai Hub,Mumbai_CottonGreen_DPC
IND400072AAB,IND421302AAG,39,2.958333333333333,71.0,23.0,27.4335,Carting,2.8502276867030965,2876.0,27,39,Mumbai Hub,Bhiwandi_Mankoli_HB
IND712311AAA,IND700065AAA,28,3.4772727272727275,75.0,22.0,21.20965,Carting,3.242614184272815,1769.0,27,28,Kolkata_Dankuni_HB,CCU_Beliaghata_DPC
IND400011AAA,IND400072AAD,34,2.9166666666666665,51.5,18.0,19.623,Carting,2.8012978142076497,1240.0,24,34,LowerParel_CP,Mumbai_Chndivli_PC
IND500010AAB,IND501359AAE,23,3.5135135135135136,129.0,36.0,45.0335,Carting,3.230898507325867,2294.0,22,23,Hyderabad_Alwal_L,Hyderabad_Shamshbd_H
IND712311AAA,IND700088AAA,23,3.7666666666666666,113.0,30.0,29.6795,Carting,3.43167514603354,2673.0,22,23,Kolkata_Dankuni_HB,Kolkata_TrtllaRD_L
IND000000ACK,IND501359AAF,22,3.0811688311688314,64.5,21.0,26.21835,Carting,2.881105720976916,1043.0,22,22,Hyderabad_Chikdply_C,Hyderabad_Shamshbd_P
IND712310AAE,IND712124AAA,21,3.684210526315789,68.0,19.0,19.1213,Carting,3.342728405713738,1094.0,19,21,Kolkata_North_I_4,Hooghly_DC
IND700065AAA,IND712311AAA,23,3.75,82.0,21.0,21.888,Carting,3.4184567552289424,2915.0,19,23,CCU_Beliaghata_DPC,Kolkata_Dankuni_HB
IND380021AAA,IND382430AAB,21,3.3846153846153846,42.0,13.0,16.891599999999997,Carting,3.1097099621689788,1333.0,18,21,AMD_Rakhial,Ahmedabad_East_H_1
IND712103AAA,IND712310AAE,18,3.7281609195402297,107.5,30.0,31.85255,Carting,3.333005935556811,1509.0,18,18,Hoogly_Bandel_D,Kolkata_North_I_4
IND811399AAA,IND110044AAB,29,2.9444444444444446,53.0,16.0,13.9541,Carting,2.8078324225865217,1672.0,17,29,Noida_Sector02_C,Del_Okhla_PC
IND401104AAA,IND400072AAB,24,3.15625,50.5,16.0,20.23815,Carting,2.954508196721312,1349.0,17,24,Mumbai_MiraRd_IP,Mumbai Hub
IND400015AAA,IND400072AAB,24,3.3345410628019323,56.5,17.0,18.1103,Carting,3.097141046962857,1203.0,17,24,Mumbai_CottonGreen_DPC,Mumbai Hub
IND700136AAG,IND712310AAA,16,4.559941520467836,89.5,19.5,23.5321,Carting,3.9020141013238505,1208.0,16,16,Kolkata_Narynpur_C,Kolkata_Dankuni_P
IND462001AAA,IND462022AAA,16,3.916666666666667,47.5,13.0,14.1503,Carting,3.43417784401391,892.0,16,16,Bhopal_Old City,Bhopal_Trnsport_H
IND380006AAB,IND382430AAB,15,3.583333333333333,43.0,12.0,15.09,Carting,3.173106947697111,502.0,15,15,Ahmedabad_Mithakal_D,Ahmedabad_East_H_1
