source_center,excess_min_total,breached_legs,betweenness_time_cost,throughput_trips,dwell_gap_median_min,flow_in_legs,flow_out_legs,name
IND000000ACB,509741.0,268.0,0.1992224962866559,86,151.13042246666657,694,777,Gurgaon_Bilaspur_HB
IND562132AAA,258345.0,140.0,0.0910290441368793,27,141.13358345000017,512,574,Bangalore_Nelmngla_H
IND421302AAG,222246.0,399.0,0.0498198413843283,7,144.20053515833334,414,554,Bhiwandi_Mankoli_HB
IND712311AAA,146005.0,218.0,0.0956429831667018,2,105.21098254166668,162,212,Kolkata_Dankuni_HB
IND501359AAE,122948.0,130.0,0.1139287259861167,3,151.86333109999998,307,251,Hyderabad_Shamshbd_H
IND411033AAA,121814.0,156.0,0.1000914663627299,30,113.31041676666666,263,319,Pune_Tathawde_H
IND110037AAM,95598.0,109.0,0.0621731504217439,0,152.30552065,133,185,Delhi_Airport_H
IND160002AAC,84879.0,133.0,0.0498555085101762,0,135.9711696333334,322,296,Chandigarh_Mehmdpur_H
IND751002AAB,74696.0,26.0,0.0591586838355,41,111.04100508333327,73,65,Bhubaneshwar_Hub
IND131028AAB,65060.0,111.0,0.0643387394128081,13,165.46667717499997,262,200,Sonipat_Kundli_H
IND842001AAA,62261.0,138.0,0.0248516643866126,12,69.09399919999998,107,122,Muzaffrpur_Bbganj_I
IND781018AAB,58313.0,65.0,0.0437271036867126,0,169.0671774333333,70,72,Guwahati_Hub
IND209304AAA,53419.0,80.0,0.050612444180948,43,107.53764461666668,111,138,Kanpur_Central_H_6
IND462022AAA,48582.0,63.0,0.0430787545990777,11,72.64829800833333,89,74,Bhopal_Trnsport_H
IND600056AAB,48550.0,99.0,0.0458267084949582,0,140.75488885,186,222,MAA_Poonamallee_HB
IND382430AAB,48003.0,111.0,0.0405477757187718,0,137.1066368333333,170,203,Ahmedabad_East_H_1
IND395023AAA,42794.0,14.0,0.0208979634863743,36,181.2977479333333,62,71,Surat_HUB
IND834002AAB,33085.0,53.0,0.005805419183841,6,173.68372409166668,42,52,Ranchi_Hub
IND560099AAB,31728.0,147.0,0.0280595260552317,40,86.02125211666669,264,343,Bengaluru_Bomsndra_HB
IND302014AAA,29699.0,24.0,0.0346961874220277,7,182.5259133833333,69,61,Jaipur_Hub
IND854326AAB,24734.0,47.0,0.0186527179142498,10,135.0361901333331,41,51,Purnia_Central_H_2
IND821115AAB,22140.0,12.0,0.0064834908763492,0,37.44691775000001,30,23,Sasaram_Central_I_2
IND521225AAB,21878.0,23.0,0.0113136123189497,16,149.7111431333333,46,51,Vijayawada_Rynapadu_H
IND560300AAA,20815.0,101.0,0.005669884105619,0,59.76796126666666,187,227,Bengaluru_KGAirprt_HB
IND403726AAA,19969.0,11.0,0.016523390501131,0,92.97753266666666,43,42,Goa_Hub
IND211002AAB,19176.0,41.0,0.0080980227730635,0,73.02466063333333,32,37,Allahabad_Central_H_1
