cell,n_ftl,n_carting,ratio_ftl,ratio_carting,min_ftl,min_carting,dt_raw_min,osrm_med,dt_star_min,cf_dt_min,n_test_legs,breakeven_kg
L0:long|day|inter,885,46,1.9135071090047393,2.467391304347826,447.0,219.0,-228.0,211.0,116.86956521739133,0.0,308,1974.0289855072463
L0:long|day|intra,1318,288,1.9862338974488507,2.2169430748543255,211.0,183.0,-28.0,98.0,22.60949938573653,0.0,509,1994.9756668031696
L0:long|night|inter,1178,113,1.964514652014652,2.2531645569620253,662.5,222.0,-440.5,286.0,82.55387281494879,0.0,452,1981.6546949300111
L0:long|night|intra,2001,487,1.9896907216494846,2.042105263157895,170.0,153.0,-17.0,82.0,4.297992403689644,0.0,867,1999.0448905769579
L0:mid|day|intra,726,782,1.8041095890410959,2.096189419163892,80.5,89.0,8.5,40.0,11.683193204911841,0.0,589,1997.403734843353
L0:mid|night|inter,184,384,1.83300395256917,1.7445652173913042,79.5,88.0,8.5,44.0,-3.8913043478260914,0.0,194,2000.8647342995168
L0:mid|night|intra,2378,1609,1.8571428571428572,1.903225806451613,75.0,76.0,1.0,39.0,1.7972350230414755,0.0,1647,1999.600614439324
L0:short|day|intra,284,1378,2.0476190476190474,2.611111111111111,49.0,50.0,1.0,20.0,11.269841269841274,0.0,731,1997.4955908289242
L0:short|night|inter,67,108,1.8214285714285714,2.299019607843137,47.0,50.0,3.0,24.0,11.462184873949576,0.0,75,1997.452847805789
L0:short|night|intra,1271,3121,1.9130434782608696,2.210526315789474,44.0,43.0,-1.0,21.0,6.24713958810069,0.0,1926,1998.6117467581998
